rank,resume_id,category,composite_score,status,est_years_exp,tfidf_score,skill_match_pct,category_pct,exp_score,edu_score,total_skills,matched_skills,missing_skills,bonus_skills,snippet
59,1117,Python Developer,42.17, Not Recommended,9,11.44,28.26,75.0,100.0,70.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Rachel Lopez | rachel.l@email.com Python Software Developer — 9 years EXPERIENCE: Python Developer — Stripe • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumP..."
60,1102,Python Developer,42.17, Not Recommended,9,11.44,28.26,75.0,100.0,70.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Carol White | carol.w@email.com Python Software Developer — 9 years EXPERIENCE: Python Developer — Netflix • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy..."
61,1115,Python Developer,42.15, Not Recommended,10,11.37,28.26,75.0,100.0,70.0,27,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'databricks', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Peter Jackson | peter.j@email.com Python Software Developer — 10 years EXPERIENCE: Python Developer — Databricks • Backend services: Django, Flask, FastAPI; data pipelines: Pandas,..."
62,1112,Python Developer,41.61, Not Recommended,7,11.37,28.26,75.0,87.5,82.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Maya Singh | maya.s@email.com Python Software Developer — 7 years EXPERIENCE: Python Developer — Apple • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy, Py..."
63,1111,Python Developer,40.37, Not Recommended,6,11.44,28.26,75.0,75.0,85.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Liam Taylor | liam.t@email.com Python Software Developer — 6 years EXPERIENCE: Python Developer — Airbnb • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy,..."
64,1076,Java Developer,39.3, Not Recommended,8,7.72,21.74,62.5,100.0,100.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Bob Martinez | bob.m@email.com Java Software Engineer — 8 years EXPERIENCE: Senior Java Developer — Uber • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microserv..."
65,1100,Python Developer,39.17, Not Recommended,6,11.44,28.26,75.0,75.0,70.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Alice Johnson | alice.j@email.com Python Software Developer — 6 years EXPERIENCE: Python Developer — Meta • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy,..."
66,1119,Python Developer,39.17, Not Recommended,6,11.44,28.26,75.0,75.0,70.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Tina Hall | tina.h@email.com Python Software Developer — 6 years EXPERIENCE: Python Developer — Salesforce • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy..."
67,1110,Python Developer,39.17, Not Recommended,6,11.44,28.26,75.0,75.0,70.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Karen Lee | karen.l@email.com Python Software Developer — 6 years EXPERIENCE: Python Developer — Stripe • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy, P..."
68,1118,Python Developer,39.17, Not Recommended,6,11.44,28.26,75.0,75.0,70.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Sam Walker | sam.w@email.com Python Software Developer — 6 years EXPERIENCE: Python Developer — Amazon • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy, Py..."
69,1113,Python Developer,38.87, Not Recommended,5,11.44,28.26,75.0,62.5,85.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Noah Anderson | noah.a@email.com Python Software Developer — 5 years EXPERIENCE: Python Developer — Nvidia • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy..."
70,1121,Python Developer,38.61, Not Recommended,5,11.37,28.26,75.0,62.5,82.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Bob Martinez | bob.m@email.com Python Software Developer — 5 years EXPERIENCE: Python Developer — OpenAI • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy,..."
71,1075,Java Developer,38.11, Not Recommended,9,7.76,21.74,62.5,100.0,85.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Alice Johnson | alice.j@email.com Java Software Engineer — 9 years EXPERIENCE: Senior Java Developer — Airbnb • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, micr..."
72,1078,Java Developer,38.1, Not Recommended,8,7.72,21.74,62.5,100.0,85.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","David Kim | david.k@email.com Java Software Engineer — 8 years EXPERIENCE: Senior Java Developer — Airbnb • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microser..."
73,1099,Java Developer,37.86, Not Recommended,9,7.72,21.74,62.5,100.0,82.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Emma Wilson | emma.w@email.com Java Software Engineer — 9 years EXPERIENCE: Senior Java Developer — Meta • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microserv..."
74,1087,Java Developer,36.91, Not Recommended,8,7.76,21.74,62.5,100.0,70.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Maya Singh | maya.s@email.com Java Software Engineer — 8 years EXPERIENCE: Senior Java Developer — Airbnb • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microser..."
75,1096,Java Developer,36.91, Not Recommended,9,7.76,21.74,62.5,100.0,70.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Bob Martinez | bob.m@email.com Java Software Engineer — 9 years EXPERIENCE: Senior Java Developer — Intel • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microser..."
76,1085,Java Developer,36.91, Not Recommended,9,7.76,21.74,62.5,100.0,70.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Karen Lee | karen.l@email.com Java Software Engineer — 9 years EXPERIENCE: Senior Java Developer — Nvidia • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microser..."
77,1088,Java Developer,36.91, Not Recommended,8,7.76,21.74,62.5,100.0,70.0,21,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'snowflake', 'spring']","Noah Anderson | noah.a@email.com Java Software Engineer — 8 years EXPERIENCE: Senior Java Developer — Snowflake • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, mi..."
78,1086,Java Developer,36.61, Not Recommended,7,7.76,21.74,62.5,87.5,85.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Liam Taylor | liam.t@email.com Java Software Engineer — 7 years EXPERIENCE: Senior Java Developer — Netflix • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, micros..."
79,1081,Java Developer,36.6, Not Recommended,7,7.72,21.74,62.5,87.5,85.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Grace Patel | grace.p@email.com Java Software Engineer — 7 years EXPERIENCE: Senior Java Developer — Spotify • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, micro..."
80,1091,Java Developer,36.6, Not Recommended,7,7.72,21.74,62.5,87.5,85.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Quinn Harris | quinn.h@email.com Java Software Engineer — 7 years EXPERIENCE: Senior Java Developer — Intel • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, micros..."
81,1094,Java Developer,36.6, Not Recommended,7,7.72,21.74,62.5,87.5,85.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Tina Hall | tina.h@email.com Java Software Engineer — 7 years EXPERIENCE: Senior Java Developer — Stripe • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microserv..."
82,1105,Python Developer,36.17, Not Recommended,4,11.44,28.26,75.0,50.0,70.0,26,"['agile', 'aws', 'docker', 'gcp', 'kubernetes', 'matplotlib', 'mongodb', 'numpy', 'pandas', 'postgresql', 'python', 'scikit-learn', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'mlflow', 'nlp', 'nltk', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['bash', 'ci/cd', 'django', 'elasticsearch', 'fastapi', 'flask', 'git', 'graphql', 'javascript', 'jenkins', 'linux', 'mysql', 'redis']","Frank Chen | frank.c@email.com Python Software Developer — 4 years EXPERIENCE: Python Developer — Adobe • Backend services: Django, Flask, FastAPI; data pipelines: Pandas, NumPy, P..."
83,1213,Business Analyst,35.45, Not Recommended,9,6.2,17.39,50.0,100.0,100.0,11,"['agile', 'communication', 'power bi', 'python', 'r', 'scrum', 'sql', 'tableau']","['a/b testing', 'airflow', 'aws', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'gcp', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'probability', 'pytorch', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['excel', 'problem solving', 'snowflake']","Noah Anderson | noah.a@email.com Business Analyst — 9 years EXPERIENCE: Senior Business Analyst — Snowflake • Requirements gathering via stakeholder interviews; user stories, BRDs..."
84,1079,Java Developer,35.41, Not Recommended,7,7.76,21.74,62.5,87.5,70.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Emma Wilson | emma.w@email.com Java Software Engineer — 7 years EXPERIENCE: Senior Java Developer — Uber • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microserv..."
85,1083,Java Developer,35.41, Not Recommended,7,7.76,21.74,62.5,87.5,70.0,20,"['agile', 'aws', 'docker', 'kafka', 'kubernetes', 'mongodb', 'postgresql', 'python', 'scrum', 'sql']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['ci/cd', 'git', 'java', 'jenkins', 'microservices', 'mysql', 'oracle', 'redis', 'rest api', 'spring']","Iris Davis | iris.d@email.com Java Software Engineer — 7 years EXPERIENCE: Senior Java Developer — IBM • Enterprise apps: Java, Spring Boot, Hibernate, Maven; REST API, microservic..."
86,1061,Web Designing,34.83, Not Recommended,8,6.67,15.22,50.0,100.0,100.0,29,"['agile', 'aws', 'docker', 'kubernetes', 'mongodb', 'postgresql', 'scrum']","['a/b testing', 'airflow', 'azure', 'bayesian', 'bert', 'classification', 'clustering', 'communication', 'deep learning', 'gcp', 'hugging face', 'hypothesis testing', 'kafka', 'leadership', 'lightgbm', 'machine learning', 'matplotlib', 'mlflow', 'nlp', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'teamwork', 'tensorflow', 'time series', 'xgboost']","['angular', 'ci/cd', 'css', 'django', 'fastapi', 'firebase', 'flask', 'git', 'graphql', 'html', 'javascript', 'jenkins', 'linux', 'microservices', 'mysql', 'node.js', 'react', 'redis', 'rest api', 'spring', 'typescript', 'vue']","Liam Taylor | liam.t@email.com Full Stack Developer — 8 years EXPERIENCE: Senior Developer — Amazon • Frontend: React, Angular, Vue.js, TypeScript, JavaScript, HTML5, CSS3, SASS •..."
